,Poem ID,Poem Name,Verse,Vazha,Hewitt,Google,Gemini,Gemini_ru,ChatGPT,ChatGPT_ru,Hewitt - Google,Hewitt - Gemini,Hewitt - Gemini_ru,Hewitt - ChatGPT,Hewitt - ChatGPT_ru
69,5,Voice From The Grave,7,"აგვიოხრებენ ქვეყანას, დას ატირებენ ძმაზედა!..","They will devastate our land, They will set sister crying over brother!...",They will give us the country Sister cries over brother!..,"They will ravage our land, Make sisters mourn their brothers!..","They are ravaging our land, making sisters weep for their brothers!..","they will ravage our land, and make sisters weep for brothers!","They will ravage our country, make the sister cry for her brother!..",,,,,
70,5,Voice From The Grave,8,"გალესე, კარგად გალესე, არ ილეოდეს ძვალზედა.","Sharpen it, sharpen it well, Let it not be blunted on bone.","fuck, fuck well Do not rub on the bone.","Sharpen it, sharpen it well, Let it not slip on bone.","Sharpen, sharpen it well, so it doesn't slip on the bone.","Sharpen it, sharpen it well, so it doesn't wear out on bones.","Sharpen well, sharpen so that it doesn't wear out on bone.",,,,,
71,5,Voice From The Grave,9,უფლის კურთხევა ანთია სამშობლოს მცველის ფარზედა…,The blessing of the Lord is lit On the shield of the motherland’s defender...,The Lord's blessing is kindled The veil of the defender of the motherland...,The Lord's blessing shines On the defender's shield...,The Lord's blessing burns on the shield of the defender of the Motherland...,The blessing of the Lord shines on the shield of the homeland's defender...,The Lord's blessing burns on the shield of the homeland's defender...,,,,,
72,5,Voice From The Grave,10,თამარ-დედოფლის ნაკოცნი ბეჭდად უსვია ხმალზედა.,The kiss of Queen Tamar Is imprinted on his sword as a seal.,Tamar-queen's kiss It is worn as a ring on the sword.,Queen Tamar's kiss Is imprinted on the sword.,"Kissed by Queen Tamar, it lies on the sword.",The kiss of Queen Tamar is marked as a seal on the sword.,The kiss of Queen Tamar is imprinted on the sword.,,,,,
73,5,Voice From The Grave,11,"მხნედ იყავ, ძმაო, ნუ ჰკრთები, ნეტავ ყოყმანობ რაზედა?","Be bold, brother, do not waver, What, pray, makes you hesitate?","Be strong, brother, don't be discouraged. Do you hesitate about it?","Be brave, brother, don't fear, Why hesitate?","Be brave, brother, don't be afraid, why hesitate?","Be brave, brother, do not tremble, why do you hesitate?","Be brave, brother, do not fear, why do you hesitate?",,,,,
74,5,Voice From The Grave,12,ერთხელ სჯობია სიკვდილი შავს ყოფნას ქვეყანაზედა!,A sudden death is preferable To a bleak existence on earth!,Better to die once Black presence in the country!,It's better to die once Than to live in shame on this earth!,It is better to die once than to live in shame on earth!,It is better to die once than to live in darkness on earth!,It is better to die once than to live a black life on earth!,,,,,
75,5,Voice From The Grave,13,"გული მეც მერჯის და რა ვქნა! ვარ ცარიელი ძვალები,","My heart too is surging, but what can I do? I am just insubstantial bones,",My heart also melts and what can I do! I'm bare bones,"My heart yearns too, but what can I do! I am but empty bones,","My heart also breaks, but what can I do! I am just empty bones,","My heart urges me, what can I do! I am but empty bones,","And my heart calls as well, but what can I do! I am empty bones,",,,,,
76,5,Voice From The Grave,14,"მიწისგან შებოჭილი მაქვს ღონე-მიხდილი მკლავები,","By the earth I have my arms Held firm, now bereft of strength,",I am tied to the ground arms straining,"My strength-drained arms Are bound by the earth,","My strong arms are bound by earth,","my arms are weak and bound by the earth,","My hands are powerless, shackled by the earth,",,,,,
77,5,Voice From The Grave,15,"სული ღმერთთანა, – იქ, სადაც ბრწყინვენ ციური ძალები.","My soul is with God — there, where The heavenly powers shine.","The soul is with God, where The celestial powers shine.","My soul is with God, there, where Heavenly powers shine.","My soul is with God - there, where the heavenly powers shine.","my soul is with God, – where the celestial powers shine.","My soul with God, where the heavenly forces shine.",,,,,
78,5,Voice From The Grave,16,"ხსოვნა-კი ჩემის ქვეყნისა აქვე, ჩემთანა ჰმარხია.","But remembrance of my country Lies buried right here beside me,","The memory belongs to my country Here, it is with me.","But the memory of my country Is buried here, with me.","And the memory of my country is here, buried with me.",The memory of my country is buried here with me.,"But the memory of my country is buried here, with me.",,,,,
79,5,Voice From The Grave,17,მუდამ თვალებ-წინ მიელავს ჩემის სამშობლოს სახეა.,Constantly before my eyes is flashing The image of my motherland.,It is always in front of my eyes It is the face of my homeland.,The face of my homeland Is always before my eyes.,The image of my homeland is always before my eyes.,The image of my homeland always glitters before my eyes.,The image of my homeland always glimmers before my eyes.,,,,,
80,5,Voice From The Grave,18,არ დაივიწყებს ივერთა თქვენი პატარა კახია.,Forgotten the Iberians will never be By this your small citizen of K’axeti.,Iverta will not forget Your little kakhia.,The people of Iberia will not forget Your little Kakheti.,Iveria will not forget her little Kakhetian.,Iberians will never forget your little Kakheti.,Iberia will not forget your little Kakheti.,,,,,
81,6,That In Truth Is Not Manliness,1,"ის-კი არ არი ბიჭობა, რო გამაგრებდენ, ჰმაგრობდე.",That in truth is not manliness When someone eggs you on and makes you brash.,"He is not a boy If you are strong, be strong.","It's not manhood, To be strong and brave.","It's not courage to strengthen yourself, to be strong.","It's not manliness, To boast if they make you strong.","This is not courage, when you are strengthened and become strong.",,,,,
82,6,That In Truth Is Not Manliness,2,"ბიჭს მაშინ დაგიძახებდი, თავისთავადა ჰვარგობდე.",A man would I call you only if Of your own inclination you shew your worth.,I would call you a boy then It is self-evident.,"I'd call you a man, If you could stand on your own.",You would be called a man if you were good on your own.,"I would call you a man, If you were good by nature.",I would call you a man if you were valiant by nature.,,,,,
83,6,That In Truth Is Not Manliness,3,"არც ის მგონია ბიჭობა, ვისაც ერევი, ახრჩობდე.",Nor to call it manliness would I wish When you throttle the one you vanquish.,"I don't think he's a boy either Whomever you interfere with, suffocate.","It's not manhood, To oppress and strangle those you fight.",I don't consider it courage to interfere and suppress others either.,"It's not manliness, I think, To strangle someone you can overpower.","This is also not courage, when you attack and strangle someone.",,,,,
84,6,That In Truth Is Not Manliness,4,"ბიჭს მაშინ დაგიძახებდი, რომ სხვის დამრჩვალსა სწამლობდე.",A man would I call you only when One throttled by another you were to tend.,I would call you a boy then To poison someone else's remains.,"I'd call you a man, If you could heal the wounds of others.",You would be called a man if you defended the offended.,"I would call you a man, If you would help the oppressed.",I would call you a man if you helped those in need.,,,,,
85,6,That In Truth Is Not Manliness,5,"მითხარ, ვის უთქვამ ბიჭობად, დამჩაგვრელებსა სწყალობდე?","Tell me, who has styled it manly virtue When it is oppressors that you nurture?",tell me who you said you were a boy Have mercy on the oppressors?,"Tell me, who called it manhood, To show mercy to oppressors?","Tell me, who called it courage to pity the oppressors?","Tell me, who has called it manliness, To favor the oppressors?","Tell me, who would call it courage to support oppressors?",,,,,
86,6,That In Truth Is Not Manliness,6,"აბა, ბიჭობა ის არი, დაჩაგრულთათვის სწვალობდე.",Rather is it true manliness When you suffer for the oppressed.,"Well, boyhood is To the oppressed.","True manhood, Is to suffer for the oppressed.",True courage is to fight for the oppressed.,"True manliness is, To stand up for the downtrodden.",True courage is standing up for the oppressed.,,,,,
87,6,That In Truth Is Not Manliness,7,"არც-რა ბიჭობა ეგ არი, მაძღარი ჰმღერდე, ჰგალობდე,","And no manliness begins When with full stomach you sing your hymns,","It's not boyishness. sing to the drunkard, sing to him","It's not manhood, To sing and feast while full.","It's not courage to be full, to sing and have fun,","It's not manliness, To sing and rejoice when full,","It is not courage when you are well-fed, singing and playing,",,,,,
88,6,That In Truth Is Not Manliness,8,თავი მოგქონდეს სხვებზედა და ამის გამო გვშარობდე.,"Or when you behave as superior to others, And because of this despise us, your brothers,",Take care of others And we sweat because of it.,To boast about yourself And mock others for it.,To exalt yourself over others and be proud of it.,To boast over others And cause trouble because of it.,Proud of yourself before others and causing envy.,,,,,
89,6,That In Truth Is Not Manliness,9,"მგოსნობას არვის აცლიდე, მუდამ ჰკვეხდე და სცხარობდე.",When from your minstrelsy you give none peace But ever vaunt and overheat.,Don't let anyone miss you. Always boast and be proud.,"Don't deny anyone the art of poetry, Always lament and burn with passion.","Don't envy anyone, always be generous and kind.","To not let anyone else be a poet, To always boast and be loud.","It is not courage to silence other poets, always boasting and getting angry.",,,,,
90,6,That In Truth Is Not Manliness,10,"ბიჭს მაშინ დაგიძახებდი, მშიერ-მწყურვალიც ჰგალობდე.",A man then surely would I call you Were you to sing in spite of thirst and hunger.,I would call you a boy then Sing even when you are hungry and thirsty.,"I'd call you a man, If you could sing even when hungry and thirsty.",You would be called a man if you sang hungry and thirsty.,"I would call you a man, If you could sing even when hungry and thirsty.","I would call you a man if you sang, even while hungry and thirsty.",,,,,
91,7,The Law Of The World Is Thus,1,"სოფლისა წესი ასეა: ჩვენ წავალთ, სხვანი რჩებიან;","The law of the world is thus: We depart, others remain;","The rule of the village is as follows: We will go, others will stay;","The way of the village is this: We depart, others remain;","Such is the law of the village: we depart, others remain;","This is the way of the village: We go, others remain;","This is the law of the village: we will leave, others will stay;",,,,,
92,7,The Law Of The World Is Thus,2,მკვდრების მაგივრად მალედვე მეორეები ჩნდებიან.,In place of the dead right soon Replacements come.,Instead of the dead soon Others appear.,"In place of the dead, swiftly Others appear again.","In place of the dead, soon others appear.","Soon, in place of the dead, others appear.","In the place of the dead, others soon appear.",,,,,
93,7,The Law Of The World Is Thus,3,"სიცოცხლეს სიცოცხლე უყვარს, ეს მიტომ დადვა წესადა;","Life loves life, And that is why it established this as law:",life loves life This is why I made the statute;,"Life loves life, That's why it set this rule;","Life loves life, therefore it has established this rule;","Life loves life, thus it has established this order;","Life loves life, thus it established this order;",,,,,
94,7,The Law Of The World Is Thus,4,სიკვდილი გაუჩენია მას თავის გასაკვებადა.,Apparently it created death Itself just to restore.,Death has occurred He had to feed himself.,Death was created For it to feed itself.,"Death is begotten by it, to feed itself.",It created death to marvel at itself.,It created death for its own amazement.,,,,,
95,7,The Law Of The World Is Thus,5,"იმიტომა სძულს უძლური, ვით ტანსაცმელი ძველია,",For that reason the weak it loathes Just like some old clothes;,because he hates the weak like old clothes,"That's why it hates the weak, Like old clothes,","Therefore it hates the powerless, like old clothing,","That's why it hates the weak, like old clothes,","Therefore, it despises the weak, like old clothes,",,,,,
96,7,The Law Of The World Is Thus,6,"რომ უყვარს ნორჩი, ახალი, – მით დაიმშვენოს წელია.","Since it loves the young, the new, With them may each year be adorned.","that he loves Norch, fresh, – May the year be more beautiful.","Because it loves the young, the new - To adorn its years with those.","Because it loves the young, the new, to adorn the year with them.","because it loves the young, the new, thus it adorns the year.","Because it loves the young, the new, to adorn the year with it.",,,,,
97,7,The Law Of The World Is Thus,7,"დავიხოცებით, სიყვარულს საკუთარს, ნადებს გულადა,","We shall perish — love, Our own, secreted in our heart,","We will die, love To myself, to my heart,","We will perish, our love Personal, we hold dear,","We will die, our love, deposits in the heart,","We die, carrying our love deep in our hearts,","We die, bearing our love in our hearts,",,,,,
98,7,The Law Of The World Is Thus,8,ვკარგავთ პირადად და ვფიქრობთ საქვეყნოდ დაკარგულადა.,"We individually lose, and we suppose It to be a universal loss.",We lose personally and think He was lost to the world.,We lose personally and think It's lost for the world entire.,We lose personally and think of the loss for the whole world.,we lose it personally and think we've lost it for the world.,We lose it personally and think it is lost to the world.,,,,,
99,7,The Law Of The World Is Thus,9,"მკვდარნი ვეკარგვით სიყვარულს, ის ისევ რჩება ცხოვლადა,","After death we are lost to love, Yet love remains alive as before,",dead we lose love he is still alive,"We, the dead, lose love, It remains alive,","We, the dead, lose love, it remains alive,","We, the dead, are lost to love, yet it remains alive,","We, the dead, leave love, but it remains alive,",,,,,
100,7,The Law Of The World Is Thus,10,"დაფრინავს, როგორც ფარვანა, საამო, კარგი ყოვლადა,","It flits around like a butterfly, Agreeable, entirely good,",flying like a kite everything was fine,"It flies like a butterfly, Eternal, good for all,","Flies like a butterfly, beautiful, good in everything,","it flies like a butterfly, pleasing and good in every way,","Flying like a butterfly, beautiful in every way,",,,,,
101,7,The Law Of The World Is Thus,11,"გულის ძგერა აქვს სამეფოდ, ვნებათ ღელვა ჰყავს მშობლადა.","It has as its kingdom the beating of hearts, The arousing of passions it has as a parent.",has a royal heartbeat He is passionately worried about his parents.,"A heartbeat it has for a kingdom, Passion's surge it has for a parent.","A heartbeat has a kingdom, a surge of passion has a parent.","its kingdom is the beating heart, its parents are passion and emotion.","Its heartbeat is a kingdom, the excitement of passions its parents.",,,,,
102,7,The Law Of The World Is Thus,12,"ცოცხლებს უძგერებს კვლავ გულსა, შიგ ია-ვარდის მრგველია,","It sets the hearts of the living beating again, Planting violets and roses within.","The heart of the living still beats, Inside is a round rose,","It beats again in the hearts of the living, A violet weaver within,","It beats again the hearts of the living, a violet swirls within it,","It makes the hearts of the living beat, within it is a circle of violets and roses,","It makes the hearts of the living beat again, encircling them with lilies and roses,",,,,,
103,7,The Law Of The World Is Thus,13,"იმისგან ჰყვირის ირემი, მისით დაფრინავს შველია;","Because of love the buck cries, Because of love the deer flies,",the deer howls Roe deer flies with it;,"From it the deer cries, Through it the gazelle flies;","Because of this the deer cries, because of this the doe flies;","the stag bellows because of it, the roe deer leaps because of it;","Because of it, the deer cries, because of it, the roe flies;",,,,,
104,7,The Law Of The World Is Thus,14,"მისგანა გალობს ბულბული, მისგნითვე მწვანობს ველია,","Because of love the nightingale sings, And because of love the meadow greens,","The nightingale sings from him, The field is green next to you,","From it the nightingale sings, Through it the field thrives,","Because of this the nightingale sings, because of this the field turns green,","the nightingale sings because of it, the field greens because of it,","Because of it, the nightingale sings, because of it, the field turns green,",,,,,
105,7,The Law Of The World Is Thus,15,იმისგან ხარობს ბუნება – უკანასკნელი მწერია…,Because of love Nature thrives — Down to the final fly...,Nature delights in The last insect...,From it nature rejoices - The last insect...,Because of this nature rejoices - the last little bug...,nature rejoices because of it — even the tiniest insect...,"Because of it, nature flourishes – down to the last insect...",,,,,
106,7,The Law Of The World Is Thus,16,"ზღვაში იღუპვის ჭაბუკი, თავის სატრფოსთვის ხელია.","In the sea a youth is drowned, Crazed for his own beloved.",A young man dies in the sea. It is for its own sake.,"In the sea a young man drowns, A sacrifice for his beloved.","A young man drowns in the sea, the hand of his beloved.","The youth perishes in the sea, his hand reaches for his beloved.",A young man perishes at sea for his beloved.,,,,,
107,7,The Law Of The World Is Thus,17,"დიდება ქვეყნის შემომქმედს, რა კარგად დაუწერია!..","Glory to the world’s creative force, How well it has framed its laws!","Glory to the creator of the country, How well it is written!..","Glory to the creator of the world, How well it has been written!..","Glory to the Creator of the world, how well he wrote this!..","Glory to the creator of the world, who has written it so well!","Glory to the Creator of the world, how wonderfully He wrote this!",,,,,
108,8,Amiran,1,"უზარმაზარი ტანისა კაცი ვინმე სჩანს კლდეშიო,","Huge of body, A man can be seen in the rock,",Huge body The man looks like someone in the rock.,"In a vast rocky expanse, A man of immense stature appears,","In the rock, a man of immense stature is seen,","In the rock appears a man of enormous stature,","A giant figure is visible in the rock,",,,,,
109,8,Amiran,2,გულის მდნობელი ნაღველი უხმოდ დუღს იმის მკერდშიო.,Gall that melts the heart Silently boils in his breast.,Heart melting bile It boils silently in his chest.,"Silent sorrow melts his heart, Boiling wordlessly in his chest.","Silent sorrow boils in his chest, melting his heart.",with heart-melting sorrow silently boiling in his chest.,"Silently, his heart boils with sorrow.",,,,,
110,8,Amiran,3,"უგრძნობი ჯაჭვი მკლავებზედ ეხვევა, როგორც გველიო,","An unfeeling chain around his arms Is coiled like a snake,",An insensitive chain for arms coils like a snake,"Unfeeling chains on his arms, Coil like serpents,","An unfeeling chain wraps around his arms like a snake,","An unfeeling chain coils around his arms like a serpent,","A lifeless chain coils around his arms like a snake,",,,,,
111,8,Amiran,4,და აბლაბუდა თვალებზედ გადაჰკრობია ქსელიო.,And a cobweb over his eyes Has fastened like a net.,And blue eyes The network is connected.,And a spider's web of darkness Covers his eyes.,And a spiderweb covers his clouded eyes.,and a spider's web is spread over his eyes.,And cobwebs entangle his eyes.,,,,,
112,8,Amiran,5,"ტანზედ აჰსხმია ყინული და ხავსი შავის ფერისო,","Upon his body hang ice And moss of black hue,","Ice is poured over the body and the moss is black,","Ice and black moss Cling to his body,","Ice and moss of black color cover his body,","Ice and black moss cover his body,","On his body, ice and black moss,",,,,,
113,8,Amiran,6,"სდგას ესე დაჩოქებული, მომლოდნე ჯაჭვის მტვრევისო.",He stands upon his knees Awaiting the one who’ll break his chains.,standing kneeling Waiting chain breaker.,"He stands there kneeling, Awaiting the breaking of chains.","He kneels, waiting for the chain to be broken.","he kneels there, waiting for the chains to break.","He kneels, awaiting the breaking of the chain.",,,,,
114,8,Amiran,7,"პირდაპირ დაყუდებული ჟანგდება მისი ხმალიო,",Set straight ahead of him His sword grows rusty.,directly stored his sword rusts,"His sword rusts, Leaning against the wall,","His sword, thrust straight, rusts,","Standing straight, his sword rusts,","Directly in front of him, his sword rusts,",,,,,
115,8,Amiran,8,"მოსვენებასა თაკილობს, ცრემლსა ღვრის, როგორც ქალიო.","Rest he spurns, Shedding his womanly tears.",need to rest She sheds tears like a woman.,"He loathes rest, Weeping like a woman.","He longs for peace, cries like a woman.","he shuns rest, shedding tears like a woman.","He rejects peace, shedding tears like a woman.",,,,,
116,8,Amiran,9,"დაჰვიწყებია ეს მონა ძირს კაცსა, მაღლა ზეცასა,","This slave seems forgotten By man below, on high by heaven;","He forgot this slave Down to man, up to heaven","This slave has forgotten The earth below, the heavens above,","This slave has forgotten about the people below and the heavens above,","This slave has forgotten the world below, the heavens above,","This slave is forgotten by people on earth and in heaven,",,,,,
117,8,Amiran,10,არ იხსენებენ მისგანა დევ-ეშმაკების ჟლეტასა.,They no longer recall his Slaying of demons and devils.,They don't remember from him The battle of demons.,They no longer recall His slaying of demons and devils.,No one remembers his slaying of demons and devils.,none remember his slaying of demons and devils.,They do not remember how he annihilated demons.,,,,,
118,8,Amiran,11,"მოზარე წამებულისა ფეხთ ჩასწოლია ფინია,","Sharing the fate of the tormented one, Faithful Pinia has lain down at his feet.","Laziness of the tortured Finnia is lying with her feet,","At the feet of the tormented giant, A small steed lies,","At the feet of the tormented one, a fox cub has grown,","At the feet of the tortured one lies a loyal dog,","At his feet lies a small dog,",,,,,
119,8,Amiran,12,ამ პაწაწინა არსებას უცხო რამ დაუჟინია.,This tiny being Has a strange obsession:,This tiny creature A foreign thing persisted.,This tiny creature Has a strange determination.,This little creature has conceived something unusual.,this tiny creature with an unusual determination.,This tiny creature shows strange persistence.,,,,,
120,8,Amiran,13,"დაუსვენებლად ენითა ლოკავს ჯაჭვს – უნდა გასწყვიტოს,","Unceasingly with its tongue It licks the chain — it strives to break it,",He speaks restlessly Licks the chain - must be broken,"Tirelessly, with its tongue, It licks the chain - it wants to break it,","Tirelessly it licks the chain with its tongue - it wants to break it,","Ceaselessly licking the chain with its tongue, it tries to break it,","It incessantly licks the chain with its tongue – wanting to break it,",,,,,
121,8,Amiran,14,"რომ თავი იხსნას ტანჯულმა, ბილწი მჭედლები გასწყვიტოს, –","That the tortured one may himself release And tear asunder those foul smiths,","to save himself from suffering, To cut off the filthy smiths,","To free the suffering one, To destroy the wicked blacksmiths,","So that the sufferer is freed, so that the evil blacksmiths are destroyed -","to free the suffering man, to destroy the vile smiths","To free the sufferer, to destroy the vile blacksmiths, –",,,,,
122,8,Amiran,15,"რომელთაც გრდემლზედ გაჰკვერეს მის დასაბმელად ჯაჭვიო,","Who hammered on the anvil The chain to keep him bound,",who were crucified chain to bind him,"Who forged the chain on the anvil To bind him,","Those who forged the chain on the anvil to bind him,","who forged this chain to bind him,","Who forged the chains for his shackles,",,,,,
123,8,Amiran,16,"არ შეიბრალეს მართალი, გაგზავნეს ტყვედა მთაშიო.","Who took no pity on this righteous man But sent him, a prisoner, to the mountain.",did not pity the righteous They sent a prisoner to the mountains.,"They showed no mercy to the righteous, Sent him as a prisoner to the mountains.","Did not pity the righteous one, sent him as a prisoner to the mountains.","they showed no mercy to the righteous, sending him as a captive to the mountains.","They did not spare the righteous, sent him captive to the mountains.",,,,,
124,8,Amiran,17,"რა გაწყვეტამდის მიიყვანს ფინია რკინის მართულსო,","As soon as Pinia to breaking-point Brings the wire of iron,",How long will it take? Finnia is ruled by iron.,"Before the steed can break The iron shackles,","While the fox cub gnaws at the iron truth,","Whenever the dog nearly breaks the iron chain,","As soon as the little dog almost breaks the chain,",,,,,
125,8,Amiran,18,"გულქვა მჭედელი გამოდის, გრდემლზედ კვერს უწყებს რაკუნსო.",A stony-hearted smith emerges To start his hammer a-clanking on the anvil.,"The heart stone turns out to be a blacksmith, Racunso reports that he has been killed.","The heartless blacksmith emerges, Strikes the anvil with his hammer.","The evil blacksmith comes out, hammering on the anvil.","the heartless smith comes out, striking the anvil.","The cruel blacksmith comes out, hammers at the anvil again.",,,,,
126,8,Amiran,19,"და ჯაჭვი ისევ მთელდება, გულის საკლავად მონისო.","And as before the chain’s made whole, To extinguish the heart of the slave.",And the chain continues A slave to the slaughter of the heart.,"And the chain is whole again, To the slave's despair.","And the chain is whole again, to the sorrow of the slave.","And the chain becomes whole again, to strangle the slave's heart.","And the chain is whole again, to enslave the slave's heart.",,,,,
127,8,Amiran,20,ნეტავ ეს უღვთო წვალება ამ გმირს გასწირავს როდისო?!,"This godless torment, pray, When will it sacrifice this hero?",You would like this ungodly suffering When will this hero be sacrificed?!,"Oh, when will this ungodly torment End for this hero?!",When will this ungodly labor destroy the hero?!,When will this godless torment end for this hero?!,When will this hero be freed from unholy torments?!,,,,,
128,8,Amiran,21,"როდის ადგება ამირან, ჯაჭვ-აბჯრით შემოსილიო,","When Amiran arises, Girt in his chain-mail,",when will amiran get up wearing a chain bracelet,"When will Amirani rise, Clad in chainmail and armor,","When will Amirani rise, chained and armored,","When will Amiran rise, clad in chain armor,","When will Amir, bound in armor, rise,",,,,,
129,8,Amiran,22,ჩამოსდნობოდეს ყინული და უცინოდეს პირიო.,"Then will the ice melt away, Then will his smile return again.",Let the ice melt And don't laugh.,Melt the ice And smile again.,So that the ice melts and his face becomes serious.,melting ice flows down his body and a smile on his face.,When will the ice melt and a smile appear on his face.,,,,,
130,8,Amiran,23,"ეჭიროს ხელში თვის ხმალი, იცქირებოდეს ბარადა,","In his hand he will hold his sword, He will gaze out over the valley,","hold the sword of the month, let the barada shine","Grasp his sword in hand, Gaze upon the plains,","So that he takes his sword in his hands, looks at the valley,","Holding his sword in hand, gazing at the fields,","Holding his sword in hand, he will gaze at the plains,",,,,,
131,8,Amiran,24,"მთა-კლდეთ გაჰქონდეს დგრიალი, მას თავს უკრავდენ კვალადა.","The mountains and rocks will echo a roar, To him their heads they will bow once more.","Let the mountains and rocks be crushed, He was dying.","Make the mountains and rocks tremble, As they follow his path.","So that the mountains and rocks rumble, so that he clears a path.","the mountains and rocks tremble, and they bow to him again.","Mountains and rocks will shake, bowing before him.",,,,,
132,8,Amiran,25,"მიწა იძროდეს, ღრუბელნი ფუოდენ, ხტოდენ შავადა,","The earth will tremble, the clouds Will billow up and bounce in black,","The earth moved, the clouds moved Fuoden, jump black,","The earth would shake, the clouds Would billow and leap darkly,","So that the earth trembles, the clouds smoke, jump black,","The earth shakes, clouds drift and leap in darkness,","The earth will move, black clouds will leap,",,,,,
133,8,Amiran,26,კეკლუცნი წვრილნი ვარსკვლავნი მთებზე სხდებოდენ ჯარადა.,"The comely, tiny stars Will settle in ranks upon the mountains.",Curly little stars Jarada is sitting on the mountains.,The twinkling stars Would gather on the mountains like armies.,So that small twinkling stars sit on the mountains like an army.,the coquettish small stars sit on the mountains like an army.,Graceful tiny stars will settle on the mountains like an army.,,,,,
134,8,Amiran,27,"სადმე ზღვამ იგრძნოს ამბავი, კარგების სანატრელიო,","Wherever the sea perceives the news, Devoutly to be desired by all who are good,","Somewhere the sea can feel the story, longing for good","Somewhere, the sea would sense the news, Longing for goodness,","So that somewhere the sea hears this news, desired by good people,","Somewhere the sea senses the event, a sight for the good,","Somewhere the sea will hear this news, beloved by good people,",,,,,
135,8,Amiran,28,"დაუკრას ტკბილი საკრავი, ცას მიაწოდოს ხელიო.",A sweet instrument it will play And stretch its hand up to the sky.,play a sweet instrument Reach out to the sky.,"Play a sweet melody, Reach its hand to the sky.","So that it plays sweet music, reaches out to the sky.","plays a sweet lyre, raising its hand to the sky.","Sweet music will play, reaching out to the sky.",,,,,
136,8,Amiran,29,"მუნით ჩამოწვეს ღრუბელი, გაჩნდეს ცეცხლ-სეტყვა ხშირია,","Thence will the clouds descend, In profusion will come both hail and lightning,","They burned the cloud with moon, Fire and hail are common.","Clouds would descend from there, Fire and hail would burst forth,","So that a cloud descends from there, frequent lightning and hail appear,","From there a cloud descends, a frequent hail of fire appears,","Clouds will gather there, a frequent fiery hail will begin,",,,,,
137,8,Amiran,30,"იძახდენ მართლის ჯვარმცმელნი: „ვაჰმე, რა დიდი ჭირია!“","The crucifiers of the righteous will cry: “Alas, how great his suffering!”","The true crusaders call out: ""Wah, what a great plague!""","The crucified righteous would cry: ""Alas, what great sorrow!""","So that the righteous crusaders cry out: ""Oh, what a great sorrow!""","the crucifiers of the righteous shout: “Alas, what a great calamity!”","The tormentors of the righteous will cry out: ""Oh, what a great calamity!""",,,,,
138,8,Amiran,31,"მჭედლები ცოდვას ნანობდენ, ამტვრევდენ გრდემლებს, კვერებსო,","The smiths will repent their sins, They will shatter their anvils and hammers,","blacksmiths repent of sin, You who break the walls, the stones,","The blacksmiths would repent, Break their anvils and hammers,","So that the blacksmiths repent of their sins, break anvils and hammers,","The smiths repent their sins, breaking their anvils and hammers,","The blacksmiths will repent of their sins, break their anvils and hammers,",,,,,
139,8,Amiran,32,თვის იარაღის ნაშთებზედ აფრქვევდენ მწარე ცრემლებსო.,Over the remnants of their tools They will shed many bitter tears.,For the remains of weapons of the month You shed bitter tears.,Sprinkle bitter tears On the remnants of their weapons.,So that they shed bitter tears on the remains of their weapons.,on the remnants of their tools shedding bitter tears.,And will shed bitter tears on the remains of their tools.,,,,,
140,9,The Old Song Of Cavaliers,1,"მიტომ გაგვზარდა დედამა, მისთვის გვეტყოდა ნანასა –","For one thing only did our mother raise us, This is why she would chant us our lullaby —",That's why mother raised us Nanasa would tell us for him –,"That's why our mother raised us, To say ""Nana"" to her -","For this our mother raised us, to swear to her our love,","Our mother raised us for this, she sang lullabies to us —","Therefore, our mother raised us, singing lullabies –",,,,,
141,9,The Old Song Of Cavaliers,2,"ტანზე აბჯარი ავისხათ, მუდამ ვლესავდეთ დანასა,","That we should don our armour, Always be sharpening our blades,","put armor on the body, always sharpen the knife","To wear armor on our bodies, To always sharpen our blades,","To don our armor proudly and forever sharpen swords,","to don armor on our bodies, to always sharpen our daggers,","So that we would wear armor and always sharpen our daggers,",,,,,
142,9,The Old Song Of Cavaliers,3,რომ შიშს ვუგდებდეთ გულშია მეზობელს მეტიჩარასა.,So as to cast constant fear into the heart Of our posturing neighbours.,It is in the heart that we cast away fear He interfered with the neighbor.,To strike fear in the hearts Of the neighboring enemy.,"To strike fear in our neighbors, those cowardly, vile souls,",to strike fear in the hearts of boastful neighbors.,"So that we would instill fear in the hearts of intrusive neighbors,",,,,,
143,9,The Old Song Of Cavaliers,4,არ ვაქელინოთ სამშობლო მეტოქეს ათას-გვარასა.,Let us not allow our country to be trampled By one thousand different rivals!,Let's not insult the motherland Thousands of opponents.,Not to yield our homeland To the thousand-fold foe.,So we won't yield our homeland to enemies diverse and foreign.,To not let our homeland be trampled by myriad foes.,So that we would not allow enemies to capture our homeland.,,,,,
144,9,The Old Song Of Cavaliers,5,"გამოვეთხოვეთ ნათესავთ, ცოლ-შვილს და თავის ყანასა;","We have bidden farewell to kin, To wife, to child and field;","ask for relatives to his wife, children and family;","We bid farewell to relatives, Wife, children, and our own fields;","We bid farewell to kin, to wives and children dear,","We bid farewell to our kin, to our wives and our fields;","We said goodbye to our kin, wives, children, and fields;",,,,,
